Year,Mo,Dy,Hr,Name,Latitude,Longitude,magnitude,deaths,location
1907,4,18,23,PHILIPPINES: SE LUZON: CAMARINES,13.5,123,7.4,,PHILIPPINES
1907,5,4,6,PAPUA NEW GUINEA: NEW BRITAIN,-7.5,153.7,7.7,,PAPUA NEW GUINEA
1907,5,25,14,RUSSIA: SEA OF OKHOTSK,51.5,147,7.9,,RUSSIA
1907,5,25,15,"PHILIPPINES: N LUZON: TUGUEGARAO,LAOAG,N ILOCOS",18,120,,,PHILIPPINES
1907,6,25,17,INDONESIA: DJAILOLO GILOLO,1,127,7.9,,INDONESIA
1907,7,30,,"INDONESIA: SULAWESI: LEMO, COLO, ANJA, OLU CONGKO",-2,121,,,INDONESIA
1907,8,16,13,ALBANIA,41.1,20.1,6.2,,ALBANIA
1907,9,2,16,ALASKA: ALEUTIAN ISLANDS,52.59,-169.73,7.8,,ALASKA
1907,9,24,12,ALASKA: SKAGWAY,59.5,-135.5,5.5,,ALASKA
1907,10,16,14,MEXICO: GULF OF CALIFORNIA,28,-112.5,7.7,,MEXICO
1907,10,21,4,TAJIKISTAN: KARATAG,38.5,67.9,7.4,12000,TAJIKISTAN
1907,10,23,20,ITALY: FERRUZANO,38.133,16.017,5.9,158,ITALY
1907,11,16,10,PERU,-8.01,-76.79,,,PERU
1907,11,24,13,PHILIPPINES: SE LUZON: CAMARINES,14,123,,,PHILIPPINES
1907,12,15,17,PAPUA NEW GUINEA: BISMARCK SEA,-3.1,142.5,7.4,,PAPUA NEW GUINEA
1907,,,,TONGA ISLANDS: S OF TONGA,-21.17,-175.73,,,TONGA ISLANDS
1908,2,6,,SW. SUMATRA,-2,100,7.5,,SW. SUMATRA
1908,2,14,11,ALASKA: GULF OF ALASKA,61,-146.2,6,,ALASKA
1908,3,5,2,PHILIPPINES: MINDANAO,9,126,7.5,,PHILIPPINES
1908,3,23,12,INDONESIA: TIMOR,-10,129,6.6,,INDONESIA
1908,3,26,23,MEXICO: GUERRERO,18,-99,8.1,,MEXICO
1908,3,27,3,MEXICO: GUERRERO,17,-101,7.5,,MEXICO
1908,5,5,6,INDONESIA: CELEBES SEA,3,123,7.5,,INDONESIA
1908,9,21,6,HAWAII,19,-155,6.8,,HAWAII
1908,10,23,20,AFGHANISTAN: HINDU KUSH,36.5,70.5,7,,AFGHANISTAN
1908,11,6,7,RUSSIA: KURIL ISLANDS,45,150,7.6,,RUSSIA
1908,12,12,12,PERU: OFF COAST,-14,-78,8.2,,PERU
1908,12,12,,MYANMAR (BURMA): KACHIN,26.5,97,7.5,,MYANMAR (BURMA)
1908,12,28,4,"ITALY: MESSINA, SICILY, CALABRIA",38.17,15.58,7,78000,ITALY
1909,1,19,4,"TURKEY: FOCA,MENEMEN,GUZELHISAR",38.6,26.9,5.8,8,TURKEY
1909,1,23,2,IRAN: SILAKOR,33,50,7.7,5500,IRAN
1909,1,29,,"MOROCCO: TETUAN (TETOUAN),ROMARS",35.6,-5.4,,100,MOROCCO
1909,2,9,11,"TURKEY: ZARA,IPSALA,KOYULHISAR,ENDERS",40.2,37.8,6.3,,TURKEY
1909,2,22,9,FIJI ISLANDS,-18,-179,7.8,,FIJI ISLANDS
1909,3,12,23,JAPAN: CHOSHI,34.5,141.5,6.7,,JAPAN
1909,3,13,14,JAPAN: YOKOHAMA,34.5,141.5,7.5,,JAPAN
1909,3,18,16,PHILIPPINES: MINDANAO: E,8,127,,,PHILIPPINES
1909,3,23,3,ITALY: N,44.5,10.5,,,ITALY
1909,4,10,19,ALASKA: ALEUTIAN ISLANDS,52,175,7.8,,ALASKA
1909,4,14,19,TAIWAN: TAIPEI,25,121.5,7.3,9,TAIWAN
1909,4,23,17,"PORTUGAL: RIBATEJO, BENAVENTE",38.9,-8.8,6.6,30,PORTUGAL
1909,4,26,,CAMEROON: BUEA,4.2,9.2,,,CAMEROON
1909,5,11,15,CHINA: YUNNAN PROVINCE,24.4,103,6.5,21,CHINA
1909,6,3,18,"INDONESIA: SW SUMATRA: KERINTJI, REDJANGLEBONG",-2,101,7.6,,INDONESIA
1909,6,7,8,ITALY: CENTRAL,43.2,11.5,,,ITALY
1909,6,8,5,CHILE,-26.5,-70.5,7.6,,CHILE
1909,6,11,21,"FRANCE: VERNEGUES,CHARLEVAL,LA ROQUE D'ANTHERON",43.7,5.4,6.2,40,FRANCE
1909,7,7,21,AFGHANISTAN: HINDU-KUSH,36.5,70.5,8.1,,AFGHANISTAN
1909,7,8,2,PAKISTAN,35.5,72.5,,10,PAKISTAN
1909,7,8,,VANUATU ISLANDS: ESPIRITU SANTO,-15.5,167.2,,,VANUATU ISLANDS
1909,7,15,0,GREECE: CHAVARI (ELIS),37.9,21.5,5.7,,GREECE
1909,7,30,10,MEXICO: ACAPULCO,16.8,-99.8,7.8,,MEXICO
1909,8,14,6,JAPAN: OOMI,35.4,136.3,6.9,41,JAPAN
1909,8,24,22,ITALY: CENTRAL,43.2,11.5,,,ITALY
1909,10,20,23,PAKISTAN,30,68,7.2,231,PAKISTAN
1909,10,21,16,ITALY: SICILY,37.7,15.2,,,ITALY
1909,10,29,17,TURKEY: KOGLACIK,40.3,29.6,5.8,,TURKEY
1909,10,31,10,"MEXICO: GUERRERO,MICHOACAN",17,-101.2,4.7,,MEXICO
1909,11,10,6,JAPAN: KYUSHU,32,131,7.9,,JAPAN
1909,11,21,7,TAIWAN,24.4,121.8,7.3,4,TAIWAN
1909,12,9,23,SOLOMON ISLANDS,-10,165,7.7,,SOLOMON ISLANDS
1909,12,9,23,GUAM,12.5,145,8,,GUAM
1910,1,1,11,HONDURAS,17,-85,7.5,,HONDURAS
1910,1,8,14,CHINA: YELLOW SEA,35,122,6.8,,CHINA
1910,2,12,18,JAPAN: HONSHU: S OF,33,138.5,7.4,,JAPAN
1910,2,25,,PAPUA NEW GUINEA: MATUPI HARBOR,-4.25,152.25,6,,PAPUA NEW GUINEA
1910,4,12,0,TAIWAN,25.5,122.5,7.8,60,TAIWAN
1910,4,13,,COSTA RICA: CARTAGO,9.8,-84,,1750,COSTA RICA
1910,5,4,23,"COSTA RICA: CARTAGO, SAN JOSE",10,-84,,700,COSTA RICA
1910,5,22,6,JAPAN: HOKKAIDO,42,145,7.5,,JAPAN
1910,6,1,5,VANUATU ISLANDS,-20,169,7.5,,VANUATU ISLANDS
1910,6,7,2,ITALY: CALITRI,40.9,15.4,5.9,,ITALY
1910,6,16,6,VANUATU ISLANDS,-19,169.5,7.9,,VANUATU ISLANDS
1910,6,24,13,"ALGERIA: MASQUERAY, KABYLIA",36,4,6.4,12,ALGERIA
1910,6,25,19,"TURKEY: HACIHAMZA,OSMANCIK,ISKILIP",40.9,34.6,6.1,,TURKEY
1910,9,24,3,MEXICO: OAXACA,16.8,-95.9,6.9,,MEXICO
